revolution,category,n_holding,share_holding,n_primary,share_primary,level
French Revolution,Politics,6549,0.5162790697674419,5352,0.42191564840362633,sector
French Revolution,Administration & Law,1211,0.09546708711076074,571,0.045013795821836816,sector
French Revolution,Military,3296,0.2598344501379582,2274,0.17926685061095782,sector
French Revolution,Religion,894,0.07047694126921561,578,0.04556562869530942,sector
French Revolution,Nobility,644,0.0507686243594797,187,0.01474182104848246,sector
French Revolution,Kinship,377,0.02972014189988175,59,0.004651162790697674,sector
French Revolution,Big business,322,0.02538431217973985,160,0.012613322822230981,sector
French Revolution,Small business,592,0.04666929444225463,198,0.01560898699251084,sector
French Revolution,Academia,1367,0.10776507686243594,997,0.0785967678360268,sector
French Revolution,Exploration & Invention,420,0.03310997240835633,243,0.019156484036263303,sector
French Revolution,Culture (core),1995,0.15727236893969254,1683,0.13267638943634213,sector
French Revolution,Culture (periphery),691,0.05447378793851005,362,0.028537642885297594,sector
French Revolution,Sport & Games,42,0.0033109972408356327,21,0.0016554986204178163,sector
French Revolution,Politics,6549,0.5162790697674419,5352,0.42191564840362633,group
French Revolution,Administration & Law,1211,0.09546708711076074,571,0.045013795821836816,group
French Revolution,Military,3296,0.2598344501379582,2274,0.17926685061095782,group
French Revolution,Business,869,0.06850610957824202,358,0.02822230981474182,group
French Revolution,Nobility & Kinship,941,0.07418210484824596,246,0.019392983839180134,group
French Revolution,Religion,894,0.07047694126921561,578,0.04556562869530942,group
French Revolution,Learning & Culture,3812,0.30051241623965314,3285,0.25896728419392984,group
