revolution,slug,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell
Cuban Revolution,cuban-revolution,Politics,Administration & Law,Politics + Administration & Law,1260,279,48,30.53650247227714,0.6440187590466883,0.40186326636015346,0.8862554998937496,0.12427821777918996,0.0004997501249375312,0.17204301075268819,1.6564365949352766,0.21374383609035247,1.2374986761981859,2.0753745136723674,9.215745968038939e-15,0.0013118440779610195,6.451022177627256e-14,associated,False
Cuban Revolution,cuban-revolution,Politics,Military,Politics + Military,1260,279,40,20.69576053457685,0.9341461746885993,0.6674291219799151,1.2154628672429255,0.14116049944904635,0.0004997501249375312,0.14336917562724014,1.9870206664103272,0.24941734931173715,1.4981626617593222,2.475878671061332,1.6303388008904711e-15,0.0013118440779610195,1.7118557409349947e-14,associated,False
Cuban Revolution,cuban-revolution,Politics,Business,Politics + Business,1260,279,7,17.489007768831502,-1.2621531124127525,-2.506299950654138,-0.5200298855700898,0.5116634406062229,0.02448775612193903,0.025089605734767026,-0.4504190820513673,0.3960853901106142,-1.2267464466681712,0.3259082825654365,0.2554644197500222,0.05713809761785774,0.41267329344234355,not distinguishable,True
Cuban Revolution,cuban-revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,1260,279,15,18.679922838449794,-0.3073287008518514,-0.9461052645564892,0.17775508406666293,0.2885764911529359,0.2673663168415792,0.053763440860215055,0.5895351699583066,0.3058397265137127,-0.009910694008570364,1.1889810339251836,0.053905504056396915,0.40104947526236884,0.1415019481480419,not distinguishable,False
Cuban Revolution,cuban-revolution,Politics,Religion,Politics + Religion,1260,279,5,5.1847098622187575,-0.04765509969398138,-1.566429749088291,0.7098974492380395,0.5758513871699296,0.9260369815092454,0.017921146953405017,-0.19329465731568332,0.46729895381856035,-1.1092006068000617,0.722611292168695,0.6791360219306493,0.9260369815092455,0.7130928230271818,not distinguishable,True
Cuban Revolution,cuban-revolution,Politics,Learning & Culture,Politics + Learning & Culture,1260,279,47,69.41409651294444,-0.5576558565912914,-0.83549180594777,-0.34933053636643635,0.12383939907238822,0.0004997501249375312,0.16845878136200718,-1.8871749461348324,0.17683492189512934,-2.233771393049286,-1.5405784992203788,1.376930820516054e-26,0.0013118440779610195,2.8915547230837136e-25,dissociated,False
Cuban Revolution,cuban-revolution,Administration & Law,Military,Administration & Law + Military,1260,279,2,7.629410128746367,-1.7012225790358024,-4.108140862777928,-0.533151173525004,0.9636893998198941,0.13193403298350825,0.007168458781362007,-0.9677440134630707,0.6518866114147261,-2.245441771835934,0.30995374490979255,0.1376688656415857,0.23088455772113944,0.2628223798612091,not distinguishable,True
Cuban Revolution,cuban-revolution,Administration & Law,Business,Administration & Law + Business,1260,279,3,6.447253426145962,-0.9890878037425824,-3.644194189017834,0.011075703869017857,0.8221314113766911,0.18240879560219891,0.010752688172043012,-0.4592479790912317,0.5595575232463117,-1.5559807246540025,0.6374847664715392,0.41179770320234144,0.294660362126629,0.5404844854530731,not distinguishable,True
Cuban Revolution,cuban-revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,1260,279,0,6.886279548401403,-3.8848478652324507,-4.282621284390905,-3.4377965257550414,0.21346028225607722,0.0004997501249375312,0.0,-2.399134737508364,1.4239611501592855,-5.190098591820563,0.3918291168038355,0.09202106704151304,0.0013118440779610195,0.21471582309686377,dissociated,True
Cuban Revolution,cuban-revolution,Administration & Law,Religion,Administration & Law + Religion,1260,279,1,1.9113227499581595,-0.6848622645290969,-2.593399516814393,0.651080364608129,1.0064391277067009,0.5572213893053474,0.0035842293906810036,-0.7992875970984812,0.8394710760073985,-2.444650906072982,0.8460757118760198,0.3410298471019433,0.7313530734632684,0.4954510960665014,not distinguishable,True
