revolution,category,n_holding,share_holding,n_primary,share_primary,level
Cuban Revolution,Politics,213,0.16904761904761906,132,0.10476190476190476,sector
Cuban Revolution,Administration & Law,103,0.08174603174603175,58,0.046031746031746035,sector
Cuban Revolution,Military,72,0.05714285714285714,32,0.025396825396825397,sector
Cuban Revolution,Religion,37,0.029365079365079365,25,0.01984126984126984,sector
Cuban Revolution,Nobility,12,0.009523809523809525,3,0.002380952380952381,sector
Cuban Revolution,Kinship,49,0.03888888888888889,5,0.003968253968253968,sector
Cuban Revolution,Big business,26,0.020634920634920634,8,0.006349206349206349,sector
Cuban Revolution,Small business,39,0.030952380952380953,10,0.007936507936507936,sector
Cuban Revolution,Academia,133,0.10555555555555556,68,0.05396825396825397,sector
Cuban Revolution,Exploration & Invention,14,0.011111111111111112,2,0.0015873015873015873,sector
Cuban Revolution,Culture (core),604,0.4793650793650794,563,0.44682539682539685,sector
Cuban Revolution,Culture (periphery),134,0.10634920634920635,50,0.03968253968253968,sector
Cuban Revolution,Sport & Games,314,0.2492063492063492,304,0.24126984126984127,sector
Cuban Revolution,Politics,213,0.16904761904761906,132,0.10476190476190476,group
Cuban Revolution,Administration & Law,103,0.08174603174603175,58,0.046031746031746035,group
Cuban Revolution,Military,72,0.05714285714285714,32,0.025396825396825397,group
Cuban Revolution,Business,63,0.05,18,0.014285714285714285,group
Cuban Revolution,Nobility & Kinship,58,0.046031746031746035,8,0.006349206349206349,group
Cuban Revolution,Religion,37,0.029365079365079365,25,0.01984126984126984,group
Cuban Revolution,Learning & Culture,731,0.5801587301587302,683,0.542063492063492,group
