revolution,category,n_holding,share_holding,n_primary,share_primary,level
Revolutions of 1848,Politics,11303,0.3055030001621709,8698,0.23509378885345153,sector
Revolutions of 1848,Administration & Law,4487,0.12127682577436619,2171,0.058678847505270554,sector
Revolutions of 1848,Military,3352,0.0905994918644251,2215,0.05986810097843127,sector
Revolutions of 1848,Religion,2681,0.07246337639872426,1687,0.04559705930050273,sector
Revolutions of 1848,Nobility,1749,0.047272825558138276,593,0.016027893399643223,sector
Revolutions of 1848,Kinship,1120,0.030271906589545382,116,0.0031353046110600574,sector
Revolutions of 1848,Big business,1988,0.05373263419644305,1192,0.03221795772744473,sector
Revolutions of 1848,Small business,3137,0.08478836693875344,960,0.02594734850532461,sector
Revolutions of 1848,Academia,9591,0.2592302286610087,7340,0.19838910211362776,sector
Revolutions of 1848,Exploration & Invention,1182,0.031947672847180926,621,0.01678469106438186,sector
Revolutions of 1848,Culture (core),11096,0.2999081031407103,9760,0.2637980431374669,sector
Revolutions of 1848,Culture (periphery),3040,0.08216660360019461,1537,0.04154278609654576,sector
Revolutions of 1848,Sport & Games,194,0.005243526677117682,108,0.002919076706849019,sector
Revolutions of 1848,Politics,11303,0.3055030001621709,8698,0.23509378885345153,group
Revolutions of 1848,Administration & Law,4487,0.12127682577436619,2171,0.058678847505270554,group
Revolutions of 1848,Military,3352,0.0905994918644251,2215,0.05986810097843127,group
Revolutions of 1848,Business,4730,0.12784474836477647,2152,0.05816530623276934,group
Revolutions of 1848,Nobility & Kinship,2670,0.07216606303043407,709,0.01916319801070328,group
Revolutions of 1848,Religion,2681,0.07246337639872426,1687,0.04559705930050273,group
Revolutions of 1848,Learning & Culture,21231,0.5738418292880696,19258,0.5205146224120223,group
