pair,treated_change,donor_mean_change,n_donors,did,direction,claim,source,signed_did
Administration & Law + Business,-0.5285896608775684,-0.27606349314232215,4,-0.2525261677352463,1.0,The Treasury and the Bank: debt management becomes an administrative craft,Brewer 1989 ch. 4; Dickson 1967,-0.2525261677352463
Administration & Law + Military,0.6705605710792379,-1.65811159213211,4,2.3286721632113476,1.0,The fiscal apparatus exists to fund war; revenue and command are one system,Brewer 1989 ch. 2,2.3286721632113476
Administration & Law + Nobility & Kinship,-0.25577459780525313,-1.61947287619323,4,1.363698278387977,-1.0,"Salaried merit replaces venal and patrimonial office, the sharpest contrast Brewer draws with France",Brewer 1989 ch. 3,-1.363698278387977
Military + Business,0.33270233768656343,-0.0767406610790985,4,0.4094429987656619,1.0,"Contracting, victualling and naval supply",Brewer 1989 ch. 2; Baugh 1965,0.4094429987656619
Politics + Administration & Law,0.07050913465115882,-0.7343979760272334,4,0.8049071106783923,1.0,"Office-holding becomes the substance of rule: the Excise as a salaried, examined service",Brewer 1989 ch. 3,0.8049071106783923
Politics + Business,0.9362441877193417,0.5533861027888415,4,0.3828580849305002,1.0,Public credit ties Parliament to the moneyed interest,Brewer 1989 ch. 4,0.3828580849305002
