group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,cohort,phase
Politics,Administration & Law,Politics + Administration & Law,274,122,8,6.3372905236292665,0.31403811300154827,-0.7138662323918582,0.8946737115350903,0.4139036372982908,0.4002998500749625,0.06557377049180328,-0.19642509796796961,0.41204345365940775,-1.0040302671404089,0.6111800712044696,0.6335688775039805,0.4424366763986428,0.67906066661462,not distinguishable,United Kingdom,1450,pre
Politics,Military,Politics + Military,274,122,0,3.6749656648097933,-3.06176433281727,-3.5723751469302503,-2.4457803957083852,0.2899475759861139,0.0004997501249375312,0.0,-2.655628773204521,1.436543361597438,-5.471253761935499,0.15999621552645715,0.06451210077091371,0.0020989505247376314,0.10421185509147599,dissociated,United Kingdom,1450,pre
Politics,Business,Politics + Business,274,122,8,3.8519335866473874,0.9658063009639146,-0.013520485127745854,1.535977773038897,0.3864750393619581,0.025987006496751622,0.06557377049180328,0.4256494876517747,0.4333579565361386,-0.42373210715905696,1.2750310824626063,0.3259953005365923,0.07796101949025487,0.40270007713343753,not distinguishable,United Kingdom,1450,pre
Politics,Nobility & Kinship,Politics + Nobility & Kinship,274,122,18,12.915464408863441,0.463628272888047,0.018606912801104165,0.8600315737794781,0.2178041123676722,0.03698150924537731,0.14754098360655737,-1.14025556746371,0.31473991515899924,-1.7571458011753487,-0.5233653337520715,0.0002913745710871739,0.09707646176911544,0.0012237731985661304,not distinguishable,United Kingdom,1450,pre
Politics,Religion,Politics + Religion,274,122,2,6.54538015191614,-1.494749458132658,-3.8788539670328737,-0.35375926717007444,0.9617335066130632,0.14942528735632185,0.01639344262295082,-1.7709650459169395,0.6675710461415867,-3.0794042963544497,-0.4625257954794295,0.007981561622414151,0.28526645768025083,0.023944684867242456,not distinguishable,United Kingdom,1450,pre
Politics,Learning & Culture,Politics + Learning & Culture,274,122,1,3.6749656648097937,-1.4768018320961136,-3.3794041740489016,-0.13645976274286545,0.986137796963191,0.1904047976011994,0.00819672131147541,-2.187101112201244,0.8449140896144377,-3.843132727845542,-0.5310694965569462,0.009638136911148449,0.288255872063968,0.025300109391764677,not distinguishable,United Kingdom,1450,pre
Administration & Law,Military,Administration & Law + Military,274,122,1,3.6749656648097933,-1.4768018320961136,-3.351426410607203,-0.1267607640236802,0.9923882309385657,0.20589705147426288,0.00819672131147541,-1.2438016050625644,0.8579417580364719,-2.9253674508140493,0.4377642406889204,0.14712807111804996,0.288255872063968,0.19310559334244057,not distinguishable,United Kingdom,1450,pre
Administration & Law,Business,Administration & Law + Business,274,122,3,3.8519335866473874,-0.31430161822882074,-2.709092530512749,0.6755361204496947,0.7583781963193985,0.6186906546726637,0.02459016393442623,-0.5283945928850584,0.5916326621995915,-1.6879946107962578,0.631205425026141,0.3717968691025152,0.6186906546726637,0.43376301395293443,not distinguishable,United Kingdom,1450,pre
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,274,122,10,12.915464408863441,-0.35350766996214256,-1.189281496123384,0.17738200284121358,0.35135205565363314,0.28535732133933034,0.08196721311475409,-1.6897629794055786,0.37546903820551136,-2.425682294288381,-0.9538436645227764,6.782390599571012e-06,0.3745314842578711,4.747673419699708e-05,not distinguishable,United Kingdom,1450,pre
Administration & Law,Religion,Administration & Law + Religion,274,122,13,6.54538015191614,0.9382099491434485,0.35614810751737136,1.434057852171525,0.27707810866652394,0.001999000499750125,0.10655737704918032,0.7868890626018293,0.3704885869815271,0.06073143211803622,1.5130466930856223,0.03367662083873645,0.0069965017491254375,0.07857878195705173,associated,United Kingdom,1450,pre
