country,phase,n_elites,log_n_elites,share_Politics,share_Administration & Law,share_Military,share_Business,share_Nobility & Kinship,share_Religion,share_Learning & Culture
United Kingdom,pre,7938,8.97941663334301,0.4411690602166793,0.11841773746535651,0.07407407407407407,0.10972537163013353,0.29352481733434116,0.18102796674225247,0.282060972537163
United Kingdom,exposed,3759,8.231908243564177,0.4142059058260176,0.07954243149773876,0.10215482841181166,0.13860069167331737,0.21814312317105614,0.11997871774408088,0.4038308060654429
United Kingdom,post,19793,9.893083618820736,0.2903551760723488,0.09594301015510534,0.10392563027332895,0.15823776082453392,0.11893093517910372,0.10438033648259486,0.5660587076239074
France,pre,4097,8.318010277546872,0.08030266048328046,0.12326092262631194,0.10446668293873566,0.07810593116914816,0.25262387112521356,0.26702465218452526,0.5091530388088845
France,exposed,2935,7.984462732262196,0.08824531516183987,0.09812606473594548,0.15877342419080068,0.10834752981260648,0.1567291311754685,0.18194207836456558,0.5833049403747871
France,post,19059,9.855294709934643,0.34429928117949526,0.0803819717718663,0.09890340521538381,0.09633244136628365,0.04958287423264599,0.05949944907917519,0.5790440211973346
Germany,pre,6797,8.824236617346639,0.1131381491834633,0.11887597469471826,0.040900397234073856,0.10578196263057231,0.24260703251434457,0.17169339414447551,0.5749595409739591
Germany,exposed,4253,8.355379895253634,0.09945920526687045,0.10698330590171644,0.09663766752880319,0.1427227839172349,0.2109099459205267,0.11521279097107924,0.5981660004702563
Germany,post,28047,10.241636953359425,0.24391200484900347,0.15755695796341854,0.07202196313331194,0.17613291974186188,0.08239740435697222,0.05922202018041145,0.5934324526687347
Spain,pre,3124,8.046869510959576,0.13252240717029448,0.07778489116517286,0.1523687580025608,0.03137003841229193,0.22567221510883484,0.31914212548015364,0.5403329065300896
Spain,exposed,684,6.52795791762255,0.17543859649122806,0.07163742690058479,0.21052631578947367,0.06578947368421052,0.20760233918128654,0.2412280701754386,0.5116959064327485
Spain,post,3804,8.24380842366528,0.31624605678233436,0.1101472134595163,0.1627234490010515,0.08885383806519453,0.11593059936908517,0.08937960042060988,0.6025236593059937
Italy,pre,6925,8.842893331055539,0.06151624548736462,0.05574007220216606,0.05212996389891697,0.04072202166064982,0.1572563176895307,0.2827436823104693,0.6242599277978339
Italy,exposed,1960,7.580699752224563,0.04591836734693878,0.0326530612244898,0.01989795918367347,0.050510204081632655,0.07448979591836735,0.25204081632653064,0.7377551020408163
Italy,post,6851,8.832149906002899,0.3065245949496424,0.07356590278791417,0.06933294409575244,0.06495402131075756,0.04247555101445045,0.12465333527952124,0.6169902204057802
