unit,mean_signed_did,n_correct_sign,n_predictions,rank,p_in_space
Spain,0.35717390725112524,3,6,1,0.2
France,0.3170507748986359,3,6,2,0.4
Italy,-0.04619785734542702,3,6,3,0.6
Germany,-0.2965734843143402,3,6,4,0.8
United Kingdom,-0.3314533404899939,2,6,5,1.0
